story	status	duration_ms	oracle	failure
Components/Connections/Atlassian/SetupWizard 08 / Configure scope smoke-test	passed	55	smoke	
Components/Connections/Atlassian/SetupWizard 09 / Setup complete smoke-test	passed	41	smoke	
Components/Connections/Atlassian/SetupWizard 10 / Missing connection id smoke-test	passed	36	smoke	
Components/Chat/ConversationThread Reply Only smoke-test	passed	218	smoke	
Components/Chat/ConversationThread Reasoning Collapsed play-test	passed	50	play	
Components/Chat/ConversationThread Reasoning Expanded play-test	passed	42	play	
Components/Chat/ConversationThread Reasoning Live play-test	passed	38	play	
Components/Chat/ConversationThread Tool Use smoke-test	passed	27	smoke	
Components/Chat/ConversationThread Tool Use Expanded play-test	passed	37	play	
Components/Chat/ConversationThread Tool Use Many smoke-test	passed	27	smoke	
Components/Chat/ConversationThread Tool Use Live smoke-test	passed	32	smoke	
Components/Chat/ConversationThread Reasoning And Tools smoke-test	passed	34	smoke	
Components/Chat/ConversationThread Reasoning And Tools Live smoke-test	passed	31	smoke	
Components/Chat/ConversationThread Waiting smoke-test	passed	22	smoke	
Components/Chat/ConversationThread Setting Up Sandbox smoke-test	passed	21	smoke	
Components/Connections/Linear/SetupWizard Loading smoke-test	passed	221	smoke	
Components/Connections/Linear/SetupWizard Connect Workspace smoke-test	passed	39	smoke	
Components/Connections/Linear/SetupWizard Awaiting Merge smoke-test	passed	37	smoke	
Components/Connections/Linear/SetupWizard Select Repository smoke-test	passed	39	smoke	
Components/Connections/Linear/SetupWizard Select Scope smoke-test	passed	39	smoke	
Components/Connections/Linear/SetupWizard Initial Sync Failed smoke-test	passed	40	smoke	
Components/Connections/Linear/SetupWizard Configuration Pull Request Failed smoke-test	passed	35	smoke	
Components/Connections/Linear/SetupWizard Creating Pull Request smoke-test	passed	37	smoke	
Components/Connections/Linear/SetupWizard Pull Request Delayed smoke-test	passed	35	smoke	
Components/Connections/Linear/SetupWizard Complete smoke-test	passed	38	smoke	
Components/Connections/Linear/SetupWizard Manage Scope smoke-test	passed	37	smoke	
Components/Workspaces/SettingsPane Settings smoke-test	passed	246	smoke	
Components/Workspaces/SettingsPane Read Only smoke-test	passed	49	smoke	
Components/Workspaces/SettingsPane Projection Lag smoke-test	passed	59	smoke	
Components/Workspaces/SettingsPane Empty Linked Repos smoke-test	passed	41	smoke	
Components/Workspaces/SettingsPane Add Repositories play-test	passed	70	play	
Components/Workspaces/SettingsPane Hydrating smoke-test	passed	51	smoke	
Components/Workspaces/SettingsPane Hydrate Failed smoke-test	passed	47	smoke	
Components/Workspaces/SettingsPane Relink Error play-test	passed	441	play	
Components/Workspaces/SettingsPane Delete Confirm Open play-test	passed	419	play	
Components/Workspaces/SettingsPane Delete Confirm Pending play-test	passed	117	play	
Components/Workspaces/ChatChrome Writable smoke-test	passed	184	smoke	
Components/Workspaces/ChatChrome Read Only smoke-test	passed	32	smoke	
Components/Workspaces/ChatChrome Pending Probe smoke-test	passed	29	smoke	
Components/Workspaces/ChatChrome Dirty Commit Push smoke-test	passed	40	smoke	
Components/Workspaces/ChatChrome Pushing smoke-test	passed	35	smoke	
Components/Workspaces/ChatChrome Creating Pr smoke-test	passed	29	smoke	
Components/Workspaces/ChatChrome Show Pr smoke-test	passed	28	smoke	
Components/Workspaces/ChatChrome Merged Create Pr Again smoke-test	passed	26	smoke	
Components/Workspaces/ChatChrome Chat Error smoke-test	passed	27	smoke	
Components/Workspaces/ChatSession Compose Empty smoke-test	passed	355	smoke	
Components/Workspaces/ChatSession Thread Short smoke-test	passed	68	smoke	
Components/Workspaces/ChatSession Thread Long smoke-test	passed	57	smoke	
Components/Workspaces/ChatSession Markdown Answer smoke-test	passed	66	smoke	
Components/Workspaces/ChatSession Code Answer smoke-test	passed	57	smoke	
Components/Workspaces/ChatSession Reasoning smoke-test	passed	66	smoke	
Components/Workspaces/ChatSession Reasoning Streaming smoke-test	passed	54	smoke	
Components/Workspaces/ChatSession Tool Use smoke-test	passed	45	smoke	
Components/Workspaces/ChatSession Tool Use Many smoke-test	passed	54	smoke	
Components/Workspaces/ChatSession Tool Use Streaming smoke-test	passed	46	smoke	
Components/Workspaces/ChatSession Reasoning And Tools smoke-test	passed	55	smoke	
Components/Workspaces/ChatSession Reasoning And Tools Streaming smoke-test	passed	48	smoke	
Components/Workspaces/ChatSession Source Links smoke-test	passed	60	smoke	
Components/Workspaces/ChatSession Read Only smoke-test	passed	56	smoke	
Components/Workspaces/ChatSession Waiting play-test	passed	165	play	
Components/Workspaces/ChatSession Streaming play-test	failed	5109	play	"  Unable to find an element with the text: /SSE fallback token/. This could be because the text is broken up by multiple elements. In this case, you can provide a function for your text matcher to make your matcher more flexible.  Ignored nodes: comments, script, style <div   id=""storybook-root"" >   <div     class=""min-h-screen bg-background font-sans text-foreground antialiased""   >     <div       class=""flex h-[32rem] bg-zinc-950""     >       <div         class=""flex min-h-0 flex-col pb-3 pt-[6.5px] max-md:pb-0 max-md:pr-0 h-full min-w-0 flex-1 pl-0 pr-3""         data-workspace-surface=""""   "
Components/Workspaces/ChatSession Compose Send Error play-test	passed	18	play	
Components/Workspaces/ChatSession Send Error play-test	passed	4999	play	
Components/Workspaces/ChatSession List Insert On Send play-test	failed	5208	play	"  Unable to find an element with the text: /Nav row should already exist/. This could be because the text is broken up by multiple elements. In this case, you can provide a function for your text matcher to make your matcher more flexible.  Ignored nodes: comments, script, style <div   id=""storybook-root"" >   <div     class=""min-h-screen bg-background font-sans text-foreground antialiased""   >     <div       class=""flex h-[32rem] bg-zinc-950""     >       <div         class=""flex min-h-0 flex-col pb-3 pt-[6.5px] max-md:pb-0 max-md:pr-0 h-full min-w-0 flex-1 pl-0 pr-3""         data-workspace-sur"
Components/Workspaces/ChatSession Home Draft Clears After Send play-test	passed	51	play	
Components/Workspaces/FileTree Nested smoke-test	passed	276	smoke	
Components/Workspaces/FileTree Search Open play-test	passed	70	play	
Components/Workspaces/FileTree Long Names smoke-test	passed	49	smoke	
Components/Workspaces/FileTree Empty Projection smoke-test	passed	33	smoke	
Components/Workspaces/FileTree Selected File smoke-test	passed	46	smoke	
Components/Workspaces/FileTree Git Shaped smoke-test	passed	67	smoke	
Components/Workspaces/FileTree Git Status smoke-test	passed	70	smoke	
Components/Workspaces/FileTree Read Only smoke-test	passed	64	smoke	
Components/Workspaces/FileTree Large Tree smoke-test	passed	156	smoke	
Components/Connections/Atlassian/Steps/InstallForge Capabilities loading (no flash) smoke-test	passed	235	smoke	
Components/Connections/Atlassian/Steps/InstallForge Self-hosted provision failed smoke-test	passed	36	smoke	
Components/Connections/Atlassian/Steps/InstallForge Hosted marketplace — install intent POST error smoke-test	passed	44	smoke	
Components/Connections/Atlassian/Steps/InstallForge Marketplace hosted URL smoke-test	passed	29	smoke	
Components/Connections/Atlassian/Steps/InstallForge Self-hosted provision form smoke-test	passed	30	smoke	
Components/Connections/Atlassian/Steps/InstallForge Provisioning Forge app (busy) smoke-test	passed	29	smoke	
Components/Connections/Atlassian/Steps/InstallForge Marketplace Install Pending smoke-test	passed	34	smoke	
Components/Connections/OAuthErrorBanner Account Already Linked To Different User smoke-test	passed	131	smoke	
Components/Connections/OAuthErrorBanner Unable To Link Account smoke-test	passed	23	smoke	
Components/Connections/OAuthErrorBanner Email Does Not Match smoke-test	passed	21	smoke	
Components/Connections/OAuthErrorBanner Invalid Code smoke-test	passed	19	smoke	
Components/Connections/OAuthErrorBanner State Mismatch smoke-test	passed	19	smoke	
Components/Connections/OAuthErrorBanner Unknown Error With Description smoke-test	passed	19	smoke	
Components/Connections/OAuthErrorBanner Unknown Error Fallback smoke-test	passed	17	smoke	
Components/Connections/Linear/ConnectionCard Checking smoke-test	passed	202	smoke	
Components/Connections/Linear/ConnectionCard Couldnt Load smoke-test	passed	37	smoke	
Components/Connections/Linear/ConnectionCard Not Yet Connected smoke-test	passed	33	smoke	
Components/Connections/Linear/ConnectionCard Connected smoke-test	passed	32	smoke	
Components/Connections/Linear/ConnectionCard Sync Failed smoke-test	passed	32	smoke	
Components/Connections/Linear/ConnectionCard Configuration Pull Request Failed smoke-test	passed	31	smoke	
Components/Connections/Linear/ConnectionCard Awaiting Merge smoke-test	passed	31	smoke	
Components/Onboarding/Mcp/ConfigPrWizard Repos Loading play-test	passed	400	play	
Components/Onboarding/Mcp/ConfigPrWizard Repos Empty play-test	passed	206	play	
Components/Onboarding/Mcp/ConfigPrWizard Repos Error play-test	passed	433	play	
Components/Onboarding/Mcp/ConfigPrWizard Preview Loading play-test	passed	252	play	
Components/Onboarding/Mcp/ConfigPrWizard Preview Error play-test	passed	563	play	
Components/Onboarding/Mcp/ConfigPrWizard Raise Prs Success play-test	passed	286	play	
Components/Onboarding/Mcp/ConfigPrWizard Raise Prs Partial Failure play-test	passed	281	play	
Components/Onboarding/Mcp/ConfigPrWizard Standalone With Cancel smoke-test	passed	44	smoke	
Components/Onboarding/GithubSlide Hosted No Installation smoke-test	passed	214	smoke	
Components/Onboarding/GithubSlide Self Hosted No Installation smoke-test	passed	43	smoke	
Components/Onboarding/GithubSlide Installation Loading smoke-test	passed	33	smoke	
Components/Onboarding/GithubSlide Bootstrap Loading smoke-test	passed	34	smoke	
Components/Onboarding/GithubSlide Installed Empty smoke-test	passed	32	smoke	
Components/Onboarding/GithubSlide Installed Populated smoke-test	passed	35	smoke	
Components/Onboarding/GithubSlide Installed Loading smoke-test	passed	34	smoke	
Components/Repositories/RepositoryCard Ready smoke-test	passed	239	smoke	
Components/Repositories/RepositoryCard Indexing With Step Label smoke-test	passed	38	smoke	
Components/Repositories/RepositoryCard Indexing No Step Data smoke-test	passed	34	smoke	
Components/Repositories/RepositoryCard Refreshing With Step Label smoke-test	passed	35	smoke	
Components/Repositories/RepositoryCard Queued smoke-test	passed	31	smoke	
Components/Repositories/RepositoryCard Failed smoke-test	passed	32	smoke	
Components/Repositories/RepositoryCard Complete With Issues play-test	passed	78	play	
Components/Workspaces/RepositoryPicker Loading smoke-test	passed	258	smoke	
Components/Workspaces/RepositoryPicker Select Git Hub play-test	passed	78	play	
Components/Workspaces/RepositoryPicker Select Git Hub Empty play-test	passed	51	play	
Components/Workspaces/RepositoryPicker Select Git Hub All Access play-test	passed	56	play	
Components/Workspaces/RepositoryPicker Create On Git Hub play-test	passed	65	play	
Components/Workspaces/RepositoryPicker Paste Url play-test	passed	68	play	
Components/Workspaces/RepositoryPicker Save Error smoke-test	passed	45	smoke	
Components/Onboarding/PageShell Dot Nav Hidden smoke-test	passed	193	smoke	
Components/Onboarding/PageShell Dot Nav Visible smoke-test	passed	34	smoke	
Components/Onboarding/PageShell Repository Indexing Status smoke-test	passed	39	smoke	
Components/Onboarding/PageShell Transitioning smoke-test	passed	26	smoke	
Components/Onboarding/PageShell Completing smoke-test	passed	28	smoke	
Components/Onboarding/PageShell Scene Failed smoke-test	passed	34	smoke	
Components/Onboarding/PageShell Carousel Dots Interaction play-test	passed	34	play	
Components/Connections/ListItem Connected smoke-test	passed	216	smoke	
Components/Connections/ListItem Expanded smoke-test	passed	39	smoke	
Components/Connections/ListItem Not Yet Connected smoke-test	passed	35	smoke	
Components/Connections/ListItem Couldnt Load smoke-test	passed	33	smoke	
Components/Connections/ListItem Sync Failed smoke-test	passed	32	smoke	
Components/Connections/ListItem Config Pr Failed smoke-test	passed	33	smoke	
Components/Connections/ListItem Checking smoke-test	passed	29	smoke	
Components/Connections/Slack/SetupDialog Loading smoke-test	passed	200	smoke	
Components/Connections/Slack/SetupDialog Authorize Slack smoke-test	passed	32	smoke	
Components/Connections/Slack/SetupDialog Connect Git Hub smoke-test	passed	29	smoke	
Components/Connections/Slack/SetupDialog Choose Repository smoke-test	passed	28	smoke	
Components/Connections/Slack/SetupDialog Live smoke-test	passed	28	smoke	
Components/Connections/Slack/SetupDialog Status Error smoke-test	passed	28	smoke	
Components/Onboarding/Slides/Invite Empty smoke-test	passed	258	smoke	
Components/Onboarding/Slides/Invite Validation Error play-test	failed	24	play	"  expect(element).toBeVisible()  Received element is not visible:   <p   class=""mb-4 text-xs text-red-400"" />      at <anonymous>:367:16     at evaluate (/private/var/folders/9t/jj9rnpps7_ddb72c1mq2k13w0000gn/T/c074bc092911af3a35c92415033685a1/components-onboarding-slides-invite.test.js:75:31)     at Object.testFn (/private/var/folders/9t/jj9rnpps7_ddb72c1mq2k13w0000gn/T/c074bc092911af3a35c92415033685a1/components-onboarding-slides-invite.test.js:109:15)     at Promise.finally.completed (/private/tmp/ctxpipe-gate0-browser-tools/node_modules/jest-circus/build/jestAdapterInit.js:1834:28)     at "
Components/Onboarding/Slides/Invite Sending Invites play-test	passed	21	play	
Components/Onboarding/Slides/Invite Send Failed play-test	failed	1465	play	"  Unable to find an element with the text: /failed to send invites/i. This could be because the text is broken up by multiple elements. In this case, you can provide a function for your text matcher to make your matcher more flexible.  Ignored nodes: comments, script, style <div   id=""storybook-root"" >   <div     class=""min-h-screen bg-background font-sans text-foreground antialiased""   >     <div       class=""max-w-xl rounded-none border border-border bg-zinc-950 p-8 text-left""     >       <h2         class=""onb-in-1 mb-4 text-3xl font-semibold text-zinc-100 sm:text-4xl""       >         Invit"
Components/Onboarding/Slides/Invite Invites Sent play-test	passed	64	play	
Components/Onboarding/Slides/Invite Completing smoke-test	failed	7	smoke	page.evaluate: ReferenceError: __test is not defined     at eval (eval at evaluate (:290:30), <anonymous>:1:22)     at UtilityScript.evaluate (<anonymous>:292:16)     at UtilityScript.<anonymous> (<anonymous>:1:44)     at evaluate (/private/var/folders/9t/jj9rnpps7_ddb72c1mq2k13w0000gn/T/c074bc092911af3a35c92415033685a1/components-onboarding-slides-invite.test.js:315:31)     at Object.testFn (/private/var/folders/9t/jj9rnpps7_ddb72c1mq2k13w0000gn/T/c074bc092911af3a35c92415033685a1/components-onboarding-slides-invite.test.js:349:15)     at Promise.finally.completed (/private/tmp/ctxpipe-gate0-b
Components/Onboarding/Slides/Invite External Confirm play-test	failed	4	play	page.evaluate: ReferenceError: __test is not defined     at eval (eval at evaluate (:290:30), <anonymous>:1:22)     at UtilityScript.evaluate (<anonymous>:292:16)     at UtilityScript.<anonymous> (<anonymous>:1:44)     at evaluate (/private/var/folders/9t/jj9rnpps7_ddb72c1mq2k13w0000gn/T/c074bc092911af3a35c92415033685a1/components-onboarding-slides-invite.test.js:375:31)     at Object.testFn (/private/var/folders/9t/jj9rnpps7_ddb72c1mq2k13w0000gn/T/c074bc092911af3a35c92415033685a1/components-onboarding-slides-invite.test.js:409:15)     at Promise.finally.completed (/private/tmp/ctxpipe-gate0-b
Components/Connections/NotionCard Connected smoke-test	passed	216	smoke	
Components/Connections/NotionCard Checking smoke-test	passed	39	smoke	
Components/Connections/NotionCard Couldnt Load smoke-test	passed	42	smoke	
Components/Connections/NotionCard Not Yet Connected smoke-test	passed	38	smoke	
Components/Connections/NotionCard Sync Failed smoke-test	passed	34	smoke	
Components/Connections/NotionCard Configuration Pull Request Failed smoke-test	passed	35	smoke	
Components/Workspaces/FilePreview Markdown smoke-test	passed	191	smoke	
Components/Workspaces/FilePreview Type Script smoke-test	passed	89	smoke	
Components/Workspaces/FilePreview Diff Vs Head smoke-test	passed	62	smoke	
Components/Workspaces/FilePreview Editable smoke-test	passed	39	smoke	
Components/Workspaces/FilePreview Short File smoke-test	passed	35	smoke	
Components/Workspaces/FilePreview Long File smoke-test	passed	70	smoke	
Pages/Connections Empty smoke-test	passed	297	smoke	
Pages/Connections Loading play-test	failed	44	play	"  Unable to find an accessible element with the role ""navigation"" and name ""Main navigation""  Here are the accessible roles:    strong:    Name """":   <strong     style=""font-size: 1rem;""   />    --------------------------------------------------   button:    Name ""Show Error"":   <button     style=""appearance: none; font-size: 0.6em; border: 1px solid currentcolor; padding: 0.1rem 0.2rem; font-weight: bold; border-radius: 0.25rem;""   />    --------------------------------------------------  Ignored nodes: comments, script, style <div   id=""storybook-root"" >   <div     class=""min-h-screen bg-bac"
Pages/Connections Full smoke-test	passed	41	smoke	
Pages/Connections In Progress smoke-test	passed	46	smoke	
Pages/Connections Mixed Health smoke-test	passed	51	smoke	
Pages/Connections Couldnt Load smoke-test	passed	49	smoke	
Components/Skeleton Bone smoke-test	passed	119	smoke	
Components/Skeleton Row smoke-test	passed	20	smoke	
Components/Skeleton Nav List smoke-test	passed	22	smoke	
Components/Skeleton Catalog smoke-test	passed	19	smoke	
Components/Skeleton Page Body smoke-test	passed	24	smoke	
Components/Skeleton Lines smoke-test	passed	20	smoke	
Components/Connections/Atlassian/ConnectionCard Connected smoke-test	passed	268	smoke	
Components/Connections/Atlassian/ConnectionCard Checking smoke-test	passed	40	smoke	
Components/Connections/Atlassian/ConnectionCard Couldnt Load smoke-test	passed	40	smoke	
Components/Connections/Atlassian/ConnectionCard Not Yet Connected smoke-test	passed	36	smoke	
Components/Connections/Atlassian/ConnectionCard Link Git Hub smoke-test	passed	37	smoke	
Components/Workspaces/GithubDestination Empty smoke-test	passed	279	smoke	
Components/Workspaces/GithubDestination Loading smoke-test	passed	61	smoke	
Components/Workspaces/GithubDestination Load Error smoke-test	passed	72	smoke	
Components/Workspaces/GithubDestination Populated smoke-test	passed	73	smoke	
Components/Workspaces/GithubDestination Onboarding Empty smoke-test	passed	56	smoke	
Components/Workspaces/ConversationList With Conversations smoke-test	passed	220	smoke	
Components/Workspaces/ConversationList Empty smoke-test	passed	28	smoke	
Components/Workspaces/ConversationList Loading smoke-test	passed	36	smoke	
Components/Workspaces/ConversationList Load More smoke-test	passed	33	smoke	
Components/Workspaces/ConversationList Collapsed smoke-test	passed	31	smoke	
Components/Workspaces/GraphPane Empty Projection smoke-test	passed	279	smoke	
Components/Workspaces/GraphPane Loading smoke-test	passed	43	smoke	
Components/Workspaces/GraphPane Populated smoke-test	passed	49	smoke	
Components/Workspaces/GraphPane Narrow Pane smoke-test	passed	42	smoke	
Components/Workspaces/GraphPane Wide Pane smoke-test	passed	91	smoke	
Pages/Home Loading play-test	passed	509	play	
Pages/Home Empty play-test	passed	61	play	
Pages/Home Populated play-test	failed	52	play	"  Unable to find an element with the text: Document billing ledger rules. This could be because the text is broken up by multiple elements. In this case, you can provide a function for your text matcher to make your matcher more flexible.  Ignored nodes: comments, script, style <div   id=""storybook-root"" >   <div     class=""min-h-screen bg-background font-sans text-foreground antialiased""   >     <div       class="" relative flex min-h-screen min-w-0 bg-zinc-950 text-zinc-100""     >       <div         aria-hidden=""true""         class=""pointer-events-none fixed inset-0 z-0 opacity-50""         st"
Pages/Home Activity Loading play-test	passed	41	play	
Pages/Home No History play-test	passed	659	play	
Components/Connections/Atlassian/Steps/MergeConfig Creating PR smoke-test	passed	204	smoke	
Components/Connections/Atlassian/Steps/MergeConfig Awaiting merge (PR link) smoke-test	passed	32	smoke	
Components/Connections/Atlassian/Steps/MergeConfig Initial sync after merge smoke-test	passed	38	smoke	
Components/Connections/Atlassian/Steps/MergeConfig Slow PR creation smoke-test	passed	31	smoke	
Components/Onboarding/Slides/McpOnboarding Choose Github Disconnected smoke-test	passed	215	smoke	
Components/Onboarding/Slides/McpOnboarding Choose Github Connected smoke-test	passed	40	smoke	
Components/Onboarding/Slides/McpOnboarding Manual Snippet play-test	passed	195	play	
Components/Onboarding/Slides/McpOnboarding Auto Opens Wizard play-test	failed	16	play	"  Unable to find an accessible element with the role ""button"" and name `/open prs for me/i`  Here are the accessible roles:    heading:    Name ""Connect ctx| to your agents"":   <h2     class=""onb-in-1 mb-4 text-3xl font-semibold text-zinc-100 sm:text-4xl""   />    --------------------------------------------------   paragraph:    Name """":   <p     class=""mx-auto mb-8 max-w-2xl text-balance text-zinc-300""   />    --------------------------------------------------   button:    Name ""Install manually Copy a ready-made MCP config for Cursor, Claude Code, or other HTTP MCP clients."":   <button     c"
Components/Connections/Atlassian/OAuthPanel O Auth Panel smoke-test	passed	231	smoke	
Components/Connections/Atlassian/OAuthPanel Oauth App Saved smoke-test	passed	53	smoke	
Components/Connections/Atlassian/OAuthPanel Embedded (wizard) smoke-test	passed	58	smoke	
Components/Connections/Atlassian/OAuthPanel Embedded + OAuth configured smoke-test	passed	54	smoke	
Components/Connections/Slack/ConnectionCard Connected smoke-test	passed	202	smoke	
Components/Connections/Slack/ConnectionCard Draft Awaiting Repository smoke-test	passed	36	smoke	
Components/Connections/Slack/ConnectionCard Status Error smoke-test	passed	47	smoke	
Components/Connections/Slack/ConnectionCard Loading smoke-test	passed	32	smoke	
Components/Connections/GitHub/AddButton No Installation smoke-test	passed	229	smoke	
Components/Connections/GitHub/AddButton No Installation Self Hosted smoke-test	passed	29	smoke	
Components/Connections/GitHub/AddButton Has Installation smoke-test	passed	32	smoke	
Components/Connections/GitHub/AddButton Loading smoke-test	passed	30	smoke	
Components/Connections/GitHub/ConnectionCard Connected smoke-test	passed	242	smoke	
Components/Connections/GitHub/ConnectionCard Checking smoke-test	passed	42	smoke	
Components/Connections/GitHub/ConnectionCard Not Yet Connected smoke-test	passed	46	smoke	
Components/Connections/GitHub/ConnectionCard Couldnt Load smoke-test	passed	43	smoke	
Components/Onboarding/ExternalInviteModal Single Recipient smoke-test	passed	269	smoke	
Components/Onboarding/ExternalInviteModal Multiple Recipients smoke-test	passed	46	smoke	
Components/Onboarding/ExternalInviteModal Long List smoke-test	passed	42	smoke	
Components/Onboarding/ExternalInviteModal Closed smoke-test	passed	25	smoke	
Components/Connections/SetupStepper Mid Flow smoke-test	passed	140	smoke	
Components/Connections/SetupStepper All Complete smoke-test	passed	29	smoke	
Components/Connections/SetupStepper Revisit With Focus smoke-test	passed	33	smoke	
Components/Connections/SetupStepper Self-hosted / register OAuth smoke-test	passed	29	smoke	
Components/Connections/Atlassian/EditScope Edit Scope smoke-test	passed	243	smoke	
Components/Connections/Atlassian/EditScope Config Loading smoke-test	passed	47	smoke	
Components/Connections/Atlassian/EditScope Load Error smoke-test	passed	38	smoke	
